date,favourite,retweet,pred,ma4
2020-10-26,5622.5,1054.5,.076794319,.16481741
2020-10-27,4017.6924,965.76923,.1240835,.14081176
2020-10-28,797,309.88889,.015741507,.14217012
2020-10-29,1821.25,633.75,.28005037,.072206445
2020-10-30,2748.4285,730.57141,.12384139,.12416743
2020-10-31,670.59998,278.60001,.018654604,.1359292
2020-11-01,3426.5,370.5,.14281625,.10957196
2020-11-02,0,542,.26083186,.14134066
2020-11-03,6127.4165,1035.0834,.075052679,.13653603
2020-11-04,2537,715.5,.35276964,.12433885
2020-11-05,0,486.20001,.044286471,.20786761
2020-11-06,3882.6667,820.16669,.18265449,.18323517
2020-11-07,40410.5,3894,.087867409,.16369082
2020-11-08,9917.25,1436,.25566363,.1668945
2020-11-09,2946.5557,1905.4445,.12610157,.142618
2020-11-10,2472,438.5,.19388075,.16307178
2020-11-11,0,340,.51121724,.16587834
2020-11-12,2316.8,887.66669,.10062815,.27171579
2020-11-13,0,383.79999,.13832635,.23295693
2020-11-14,0,866,.00073677453,.23601311
2020-11-15,5239,1099.3334,.30391434,.18772712
2020-11-16,1729,510,.09910997,.13590141
2020-11-17,8579.4541,1826.0909,.12485024,.13552186
2020-11-18,0,236,.11388201,.13215283
2020-11-19,5308,487,.11604013,.16043913
2020-11-20,569.78949,200.63158,.027365878,.11347058
2020-11-21,2931.1428,527.42859,.1340757,.095534563
2020-11-22,0,131,.16214977,.097840928
2020-11-23,0,203.76923,.01514701,.10990787
2020-11-24,1206.75,472.25,.085190639,.084684588
2020-11-25,34258,4904,.23739973,.099140778
2020-11-26,3376.6191,746.42859,.13591231,.12497178
2020-11-27,8632,1027.6666,.19707726,.11841242
2020-11-28,0,429.5,.011805302,.16389498
2020-11-29,853.71429,444.28571,.046851497,.14554866
2020-11-30,792.79999,237.60001,.084057294,.097911596
2020-12-01,4134.3999,600.59998,.29088128,.084947839
2020-12-02,470.25,939.875,.14945875,.10839884
2020-12-03,5383.6001,673.40002,.18653461,.14281221
2020-12-04,1266.25,355.75,.15636405,.17773299
2020-12-06,5019.75,615,.2092777,.16411914
2020-12-07,0,275.66666,.35036141,.18405879
2020-12-08,19377,1821,.043913644,.23866773
2020-12-09,3990,519.625,.061892811,.20118426
2020-12-10,2989.5625,581,.1343255,.16636139
2020-12-11,8130,900,.015983529,.14762335
2020-12-13,9406,1471,.00004852848,.07073395
2020-12-14,1151,323,.15424104,.050119188
2020-12-15,3527.5,689.5,.3018297,.0567577
2020-12-16,5609.5,981.5,.13775052,.15203975
2020-12-17,0,515,.0089393454,.14846745
2020-12-18,0,243,.87204742,.15069015
2020-12-19,889.70001,424.89999,.040683411,.33014175
2020-12-20,270,14,.66636366,.26485518
2020-12-21,1347.2,518,.071601532,.39700845
2020-12-22,1308,338,.50881314,.41267401
2020-12-23,1017.125,375.625,.13433205,.32186544
2020-12-24,5585,1304.1666,.37902334,.34527761
2020-12-25,2639.5,485.5,.15094221,.27344251
2020-12-27,18293,3650,.024730787,.22143254
2020-12-28,465.85715,312.42856,.031793904,.18489878
2020-12-29,0,300.25,.067144908,.069155633
2020-12-30,203650,37087,.12429276,.041223198
2021-01-01,8717.5,2789,1.5829692e-06,.074410528
2021-01-02,0,1140.5,.12958029,.063813083
2021-01-03,628.59998,398.39999,.1579475,.084624879
2021-01-04,1395,574,.031351298,.095843121
2021-01-05,0,384,.00010950717,.079720169
2021-01-06,27199,3932,.023227954,.079747148
2021-01-08,0,1164.2,.27341118,.018229587
2021-01-09,2024.3334,429,.021833109,.098916218
2021-01-10,1930.5,358,.25224128,.10615741
2021-01-11,11309,1816,.71058768,.18249519
2021-01-12,0,568,.63867468,.3145183
2021-01-13,5456,1178,.14486405,.4058342
2021-01-14,8441.5,1837.5,.20280656,.43659192
2021-01-16,0,221,.028792839,.32878175
2021-01-17,109.5,40,.24926503,.12548782
2021-01-18,0,138,.34946081,.16028814
2021-01-19,2520.6667,509.66666,.4387607,.20917289
2021-01-20,2153.5,408,.091181725,.26656985
2021-01-21,9827.2002,1615,.19611008,.28216708
2021-01-22,1643.6666,433.66666,.31350935,.26887834
2021-01-23,12473,1198,.021178104,.25989047
2021-01-24,7080,689,.21180534,.15549481
2021-01-25,18585,4467,.18191989,.18565072
2021-01-26,1779.2,432.60001,.24363269,.18210317
2021-01-27,1546,416.33334,.40395233,.164634
2021-01-28,734.72223,249.83333,.14805314,.26032758
2021-01-29,600.875,248.375,.24859819,.2443895
2021-01-30,4171,1527,.12375262,.26105908
2021-02-01,0,511,.00086047786,.17346798
2021-02-02,3438,1008.8,.23808831,.12440376
2021-02-03,438.33334,717.83331,.021931488,.12090047
2021-02-04,1393.25,363,.28574458,.086960092
2021-02-05,609,312,.14959632,.13665621
2021-02-06,1026.6666,424.33334,.060277976,.17384018
2021-02-07,0,384,.21825267,.12938759
2021-02-08,427.41177,330.76471,.053136311,.17846788
2021-02-09,3693.5,760.25,.073090188,.12031582
2021-02-11,1924.5,404.5,.02985411,.11482639
2021-02-12,1489.8334,348,.29299721,.052026868
2021-02-13,795.375,366.9375,.03021322,.13198051
2021-02-14,2834,512.20001,.14994103,.11768818
2021-02-15,7678,2496,.23681998,.12575139
2021-02-17,0,345,.099687144,.13899142
2021-02-18,2686.6001,664.79999,.15020277,.16214938
2021-02-19,0,336.5,.45215565,.16223663
2021-02-20,0,895.5,.084580638,.23401518
2021-02-21,8602.5713,1297,.0061901156,.19665655
2021-02-22,2835,769.5,.45982265,.1732823
2021-02-23,1899.4,545.40002,.41341683,.25068727
2021-02-24,868.125,858.1875,.1335326,.24100256
2021-02-25,1378.1428,671.07141,.12379052,.25324056
2021-02-26,0,292.33334,.33967146,.28264067
2021-02-27,8028.9229,1792.1538,.21601319,.25260285
2021-02-28,682.25,574,.071578309,.20325194
2021-03-01,601.69232,460.92307,.098748483,.18776338
2021-03-02,150.32001,312.84,.07277374,.18150286
2021-03-03,2373.5,576.5,.089942656,.11477843
2021-03-04,6320.6665,658.66669,.17512864,.083260797
2021-03-05,851.35297,443.17648,.10203291,.10914838
2021-03-06,1821.125,575.25,.082241543,.10996948
2021-03-07,0,302.5,.091064252,.11233643
2021-03-08,6808.75,1727.75,.067182168,.11261684
2021-03-09,96.800003,332.20001,.12293608,.085630216
2021-03-10,2706.0908,595.36365,.28938031,.090856008
2021-03-11,3941.7778,882.88892,.058419898,.14264071
2021-03-12,604.13336,313.20001,.29209721,.13447961
2021-03-13,1567.85,586.65002,.12773019,.19070837
2021-03-14,0,626,.10626888,.1919069
2021-03-15,673.28571,596.42859,.083381556,.14612904
2021-03-16,365.5,443.75,.18341812,.15236945
2021-03-17,1349,492.5,.08487881,.12519969
2021-03-19,518.25,400.08334,.16059983,.11722616
2021-03-20,498.73334,608.06665,.26316598,.14296558
2021-03-21,0,282.5,.19524433,.16954821
2021-03-22,1290.8572,366.85715,.14047375,.20633671
2021-03-23,893.0625,377.9375,.14541192,.18987097
2021-03-24,1541.5264,536.78949,.086906724,.18607399
2021-03-25,0,432.5,.068556972,.14200918
2021-03-26,758.25,332,.047170904,.11033735
2021-03-27,0,1433.75,.11433864,.087011628
2021-03-28,0,287.96155,.069744304,.07924331
2021-03-29,1817.5,513.75,.062551342,.074952707
2021-03-31,1326,366.11111,.23958473,.082211427
2021-04-01,0,312.875,.082896575,.12396012
2021-04-02,5312.5,1276.6666,.39347082,.12834421
2021-04-03,6788.9165,1134.7916,.091112085,.23865071
2021-04-04,1418.25,980.5,.07217928,.20176606
2021-04-05,8518.667,1463.3334,.24710363,.15991469
2021-04-06,6052.7998,1059.2,.12172887,.20096645
2021-04-07,6397,1479.3334,.52241886,.13303097
2021-04-08,1032.1765,411.52942,.19342755,.24085766
2021-04-09,0,636,.021897092,.27116972
2021-04-10,8322,1659,.0064968728,.2148681
2021-04-11,3549.8572,767.14288,.06468647,.18606009
2021-04-12,12975.333,1810,.085398436,.071626998
2021-04-13,0,9747,.15088446,.044619717
2021-04-14,1847.4,655.59998,.19052468,.07686656
2021-04-15,345.21738,874.08698,.053071238,.12287351
2021-04-16,2073.6155,732.38464,.22312108,.1199697
2021-04-17,0,608.11108,.23400675,.15440036
2021-04-18,4306.3335,1368.1904,.089823209,.17518094
2021-04-19,243.53969,475.25397,.17802551,.15000556
2021-04-20,171.80769,700.46155,.15160115,.18124413
2021-04-21,459.42856,554.57141,.14556314,.16336416
2021-04-22,1326.2307,2420.8462,.047762547,.14125325
2021-04-23,737.95453,319.95456,.15816543,.13073809
2021-04-24,7689,1242.5,.2977955,.12577307
2021-04-25,6525,1364,.36891457,.16232166
2021-04-26,0,329.25,.2080632,.21815951
2021-04-27,6029.75,1079.75,.38505527,.25823468
2021-04-28,0,297,.69620973,.31495714
2021-04-29,1079.6666,570.33331,.14805155,.41456071
2021-04-30,2844,725.63635,.13537911,.35934493
2021-05-01,576.45453,349.63635,.13138975,.34117392
2021-05-02,1251.5,356.25,.34132546,.27775753
2021-05-03,6039.5,939,.52786463,.18903646
2021-05-04,0,779,.004319245,.28398973
2021-05-05,1865.1666,815.83331,.063425295,.25122479
2021-05-06,920.57141,460.71429,.15262873,.23423366
2021-05-07,7439.625,2036.25,.30637348,.18705948
2021-05-08,0,355.39999,.027054399,.13168669
2021-05-09,0,461,.96424258,.13737048
2021-05-10,1202.7778,367.11111,.17393769,.36257479
2021-05-11,1039.5625,383.125,.31192511,.36790204
2021-05-12,1519.0769,524.15387,.17481512,.36928993
2021-05-13,3107.5,655.75,.021483559,.40623012
2021-05-14,1002.2,373.60001,.19805852,.17054038
2021-05-15,2536.75,559.75,.15521212,.17657058
2021-05-16,0,251,.00083189888,.13739233
2021-05-17,0,233.39999,.074483953,.093896523
2021-05-18,853.33331,419.83334,.20713948,.10714662
2021-05-19,3859,778,.20741175,.10941686
